Country Name,PC1,PC2
Albania,-2.9370532117224,1.35811403730773
Austria,2.0041254133229,1.91522737993862
Belarus,-4.32200893616922,-1.24961232819395
Belgium,2.86062041899261,-0.50208311705334
Bosnia and Herzegovina,-3.72244671510721,1.76293668900384
Bulgaria,-1.62730654818798,0.910776314709141
Canada,1.5602671518405,-0.883229161790938
China,-1.26860221483471,0.0402940670823563
Croatia,-0.730388775162345,1.31318642668566
Czechia,0.786896922094975,0.716843596997806
Denmark,2.66722652716664,-1.35479627821678
Estonia,0.425274283380835,0.956302118878716
Finland,1.91230649956051,0.845808995426673
France,1.43035141781663,0.489199248665407
Georgia,-3.13698225870976,-0.0400802529214171
Germany,2.87988816092791,0.973263945990846
Greece,-0.035910730594694,1.04308840635107
Hungary,-0.773304561416403,-0.00471105260912025
Iceland,2.90587577052953,-2.77747727126002
Ireland,3.20735701426156,-3.03464987580674
Italy,0.81687094765149,1.86222647972095
Japan,3.18126755488992,2.12497059305266
Latvia,-0.851891622786562,0.183559456442939
Lithuania,-0.375352494747973,-0.849130458641906
Moldova,-4.04343669008292,-0.784453949891801
Montenegro,-2.75700912198373,2.10013486161953
Netherlands,3.46431744812439,-0.528263022472729
New Zealand,1.52331138761022,-0.0255891347777238
Norway,2.31215691485663,-1.67749099799336
Poland,-0.283409543499271,0.353760923211305
Romania,-1.93442596215095,0.584232401284003
Russian Federation,-4.36438121725497,-3.64878188778558
Serbia,-3.10435276790495,0.612245488132788
Slovak Republic,-0.304210709270634,1.74212487529838
Slovenia,1.22664812265284,2.71683667878277
Spain,0.600579939083342,2.04208566960557
Sweden,2.23772076304036,-0.676407067611582
Switzerland,3.8923083540596,-1.15535103541584
Turkiye,-3.56322759098918,-1.79585534128162
Ukraine,-5.19464380070685,-1.93715645060283
United Kingdom,2.3980016524311,-1.20367188237616
United States,1.03697280898812,-2.51842808748535
