"Country Name","Year","GDP per capita","Control of Corruption","Life expectancy","Research and development expenditure","High-technology exports","Bachelor education","Alcohol consumption","Population density","Unemployment","Socal contributions","Military expenditure","Infrastructure quality","Forrest area","Protected area"
"Albania",1960,,,56.413,,,,,,,,,,,
"Albania",1961,,,57.488,,,,,60.5766423357664,,,,,,
"Albania",1962,,,58.494,,,,,62.456897810219,,,,,,
"Albania",1963,,,59.479,,,,,64.3292335766423,,,,,,
"Albania",1964,,,60.404,,,,,66.2093065693431,,,,,,
"Albania",1965,,,61.273,,,,,68.0580656934307,,,,,,
"Albania",1966,,,62.149,,,,,69.8749270072993,,,,,,
"Albania",1967,,,62.976,,,,,71.7371532846715,,,,,,
"Albania",1968,,,63.788,,,,,73.8055474452555,,,,,,
"Albania",1969,,,64.538,,,,,75.9742700729927,,,,,,
"Albania",1970,,,65.234,,,,,77.9371897810219,,,,,,
"Albania",1971,,,65.896,,,,,79.8486496350365,,,,,,
"Albania",1972,,,66.526,,,,,81.8659124087591,,,,,,
"Albania",1973,,,67.107,,,,,83.8230656934307,,,,,,
"Albania",1974,,,67.633,,,,,85.7709489051095,,,,,,
"Albania",1975,,,68.12,,,,,87.7675547445255,,,,,,
"Albania",1976,,,68.57,,,,,89.7272262773723,,,,,,
"Albania",1977,,,68.992,,,,,91.7352554744526,,,,,,
"Albania",1978,,,69.367,,,,,93.6593430656934,,,,,,
"Albania",1979,,,69.617,,,,,95.5413138686131,,,,,,
"Albania",1980,,,69.903,,,,,97.5181386861314,,,,,,
"Albania",1981,,,70.145,,,,,99.491094890511,,,,,,
"Albania",1982,,,70.425,,,,,101.61598540146,,,,,,
"Albania",1983,,,70.705,,,,,103.794160583942,,,,,,
"Albania",1984,,,70.984,,,,,106.001058394161,,,,,,
"Albania",1985,,,71.282,,,,,108.20299270073,,,,,,
"Albania",1986,,,71.665,,,,,110.315145985401,,,,,,
"Albania",1987,,,71.981,,,,,112.540328467153,,,,,,
"Albania",1988,,,72.217,,,,,114.683795620438,,,,,,
